code;neighbor_code
NE;SD
NE;WY
NM;TX
NM;OK
NM;UT
SD;WY
CA;OR
CA;NV
KY;OH
KY;MO
KY;WV
KY;VA
KY;TN
OH;PA
OH;WV
AL;GA
AL;MS
AL;FL
AL;TN
GA;NC
GA;SC
GA;TN
OR;WA
PA;WV
MS;TN
MO;NE
MO;OK
MO;TN
NC;VA
NC;SC
NC;TN
OK;TX
NY;PA
NY;VT
IN;KY
IN;OH
IN;MI
KS;NE
KS;MO
KS;OK
ID;WA
ID;OR
ID;NV
ID;MT
ID;UT
ID;WY
NV;OR
NV;UT
MT;SD
MT;ND
MT;WY
MN;SD
MN;WI
MN;ND
ND;SD
AZ;NM
AZ;CA
AZ;NV
AZ;CO
AZ;UT
DE;PA
DE;NJ
DE;MD
CO;NE
CO;NM
CO;OK
CO;KS
CO;UT
CO;WY
UT;WY
VA;WV
LA;TX
LA;MS
MI;OH
MI;WI
MA;NY
MA;VT
MA;RI
MA;NH
FL;GA
CT;NY
CT;RI
CT;MA
NJ;PA
NJ;NY
MD;PA
MD;WV
MD;VA
ME;NH
NH;VT
DC;VA
DC;MD
IA;NE
IA;SD
IA;WI
IA;MO
IA;MN
IA;IL
AR;TX
AR;MS
AR;MO
AR;OK
AR;LA
AR;TN
TN;VA
IL;KY
IL;WI
IL;MO
IL;IN
